"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"RSU1.2",5.24304774050635e-61,0.124691907126714,0.164,0.088,3.33253357434324e-56,"Pancreas","RSU1","No",NA
"MAST4.6",1.52256401974609e-60,0.0713441218961695,0.364,0.232,9.6775691659081e-56,"Pancreas","MAST4","No",NA
"PPM1G.1",1.64105614304687e-60,0.220394503248275,0.103,0.048,1.04307169508202e-55,"Pancreas","PPM1G","No",NA
"GPR126.1",1.77863991851356e-60,0.40098531175165,0.109,0.052,1.1305213186064e-55,"Pancreas","GPR126","No",NA
"SH3KBP1.3",6.70119424490979e-60,0.0881891361665297,0.159,0.085,4.25934607400711e-55,"Pancreas","SH3KBP1","No",NA
"DPYSL2.7",7.47179596585829e-60,0.0334914222794884,0.207,0.118,4.74914823385919e-55,"Pancreas","DPYSL2","No",NA
"CHD1.2",1.03658260641024e-59,0.145405294719223,0.143,0.075,6.58862270460411e-55,"Pancreas","CHD1","No",NA
"TMCC3",1.36401813090659e-59,0.147397097964209,0.116,0.056,8.6698356418554e-55,"Pancreas","TMCC3","No",NA
"REST.1",1.36859090993445e-59,0.145013319620763,0.135,0.069,8.69890068263433e-55,"Pancreas","REST","No",NA
"MAGI1-IT1.6",1.4067767163278e-59,-0.00748877860874209,0.188,0.105,8.94161348665111e-55,"Pancreas","MAGI1-IT1","No",NA
"RAI14.7",1.44825227792042e-59,0.130641185086062,0.224,0.132,9.20523630368996e-55,"Pancreas","RAI14","No",NA
"KPNB1.6",2.49990098641019e-59,0.0724929411789763,0.24,0.142,1.58896206597218e-54,"Pancreas","KPNB1","No",NA
"CD151.8",7.12498389989767e-59,-0.0465195721335623,0.2,0.112,4.52871101661396e-54,"Pancreas","CD151","No",NA
"ZNF106.2",7.76580687494681e-59,0.180791009253764,0.147,0.078,4.93602450778494e-54,"Pancreas","ZNF106","No",NA
"ANKRD50.2",9.78385875698898e-59,0.151183933108482,0.153,0.082,6.21871846452977e-54,"Pancreas","ANKRD50","No",NA
"PAIP2",1.02985787184806e-58,0.176339850317063,0.102,0.048,6.54587961925346e-54,"Pancreas","PAIP2","No",NA
"IPO7.2",1.78103596933803e-58,0.148209965282101,0.138,0.072,1.13204427247094e-53,"Pancreas","IPO7","No",NA
"CTB-89H12.4.1",2.20206328832199e-58,0.141580295389724,0.143,0.075,1.39965344669034e-53,"Pancreas","CTB-89H12.4","No",NA
"MPRIP.6",2.36898710497552e-58,0.0793770111394918,0.24,0.143,1.50575189379349e-53,"Pancreas","MPRIP","No",NA
"SRSF9",2.49203414862928e-58,0.157622825817557,0.101,0.047,1.58396182521026e-53,"Pancreas","SRSF9","No",NA
"TUBA1B.8",3.18496813745812e-58,0.0173411831300108,0.311,0.195,2.02439759784976e-53,"Pancreas","TUBA1B","No",NA
"H2AFY.2",3.2646155803358e-58,0.204269568759212,0.127,0.065,2.07502230901724e-53,"Pancreas","H2AFY","No",NA
"FDPS.2",4.77499862548382e-58,0.076980205548042,0.148,0.078,3.03503687634377e-53,"Pancreas","FDPS","No",NA
"BPTF.7",9.33309644471034e-58,0.0658552331461224,0.348,0.221,5.93220943122234e-53,"Pancreas","BPTF","No",NA
"ARPC5",1.21955141688577e-57,0.218770031643439,0.101,0.048,7.75159076086761e-53,"Pancreas","ARPC5","No",NA
"HGSNAT.2",1.78600990777893e-57,0.122879999825566,0.142,0.074,1.13520575748336e-52,"Pancreas","HGSNAT","No",NA
"IDH2",1.95421333030853e-57,0.148278709553979,0.102,0.048,1.2421175348774e-52,"Pancreas","IDH2","No",NA
